task,run_dir,device,display_name,family,method,parameters,resolved_model_name,seed,trainable_parameters,best_epoch,best_val_metric,f1_50,map50,map50_95,precision50,recall50,train_seconds,image_size,shared_backbone,classification_head,roi_attention,train_roi_only,init_source,center_detection_head,class_agnostic_detection,count_aware_bias,count_aware_max,count_aware_min,count_aware_multiplier,count_aware_topk,decoder_branching,decoupled_decoder,dense_count_residual,density_count_head,detection_classes,highres_detection,roi_class_weight_power,roi_focal_gamma,roi_global_context,roi_quality_background_count,roi_quality_inference_power,roi_quality_jitter_count,roi_quality_loss_weight,segmentation_box_refine,segmentation_box_refine_blend,segmentation_box_refine_expansion,segmentation_box_refine_min_pixels,segmentation_box_refine_threshold,segmentation_support_power,segmentation_support_threshold,task_aligned_detection,train_image_sampling_power,train_tile_anchor_class_power,train_tile_max_scale,train_tile_min_scale,train_tile_min_visibility,train_tile_prob,model_name,source_checkpoint,teacher_classification_loss_weight,teacher_count_loss_weight,teacher_detection_loss_weight,teacher_dir,teacher_segmentation_loss_weight,adapter_bottleneck,adapter_fusion,adapter_lr,encoder_lr,freeze_encoder_epochs,head_lr,balancer_lr,loss_balancer,uw_log_var_classification,uw_log_var_counting,uw_log_var_detection,uw_log_var_segmentation,uw_weight_classification,uw_weight_counting,uw_weight_detection,uw_weight_segmentation,dice,dice_foreground,loss,miou,miou_foreground,pixel_accuracy,linear_probe,bias,mae,mape,r2,rmse,accuracy,balanced_accuracy,macro_f1,weighted_f1
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_145722_fasterrcnn_resnet50_fpn_seed42,cuda,Faster R-CNN ResNet-50 FPN,Two-stage detector,fasterrcnn_resnet50_fpn,41319661,torchvision:fasterrcnn_resnet50_fpn,42,41097261,35,0.41346951697698164,0.5796151104775481,0.3868523989855407,0.2526281285685491,0.6222834404652586,0.5424226254002135,883.3829881000129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_151212_fasterrcnn_resnet50_fpn_thr005_seed42,cuda,Faster R-CNN ResNet-50 FPN (thr=0.05),Two-stage detector + threshold tuning,fasterrcnn_resnet50_fpn_thr005,41319661,torchvision:fasterrcnn_resnet50_fpn,42,41097261,18,0.42954297601690505,0.4784097183876311,0.4160884131986638,0.2593520116782375,0.40814019219898245,0.5779082177161152,565.6952820000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_152142_fasterrcnn_resnet50_fpn_v2_seed42,cuda,Faster R-CNN ResNet-50 FPN v2,Two-stage detector,fasterrcnn_resnet50_fpn_v2,43276653,torchvision:fasterrcnn_resnet50_fpn_v2,42,43276653,23,0.3228671592946491,0.4761772853185596,0.31989123746468245,0.19070635045193682,0.4951036866359447,0.4586446104589114,644.4647477000108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_153231_fasterrcnn_mobilenet_v3_large_fpn_seed42,cuda,Faster R-CNN MobileNetV3 FPN,Mobile two-stage detector,fasterrcnn_mobilenet_v3_large_fpn,18950729,torchvision:fasterrcnn_mobilenet_v3_large_fpn,42,18891833,23,0.22652302309216865,0.3160552897395003,0.21497202826499523,0.10989870488693727,0.3148834745762712,0.31723585912486657,567.9435880000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_154202_fasterrcnn_mobilenet_v3_large_320_fpn_seed42,cuda,Faster R-CNN MobileNetV3 320 FPN,Mobile two-stage detector,fasterrcnn_mobilenet_v3_large_320_fpn,18950729,torchvision:fasterrcnn_mobilenet_v3_large_320_fpn,42,18891833,35,0.03920066750986298,0.08400908206292572,0.03458434041956361,0.00986266961845551,0.10711331679073614,0.06910352187833511,713.4767813999933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_155358_retinanet_resnet50_fpn_seed42,cuda,RetinaNet ResNet-50 FPN,One-stage detector,retinanet_resnet50_fpn,32251674,torchvision:retinanet_resnet50_fpn,42,32029274,32,0.33907919429228367,0.39753772835583795,0.32959108834443474,0.21571102801441677,0.3165717900063251,0.5341515474919958,692.9993489999906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_160535_retinanet_resnet50_fpn_v2_seed42,cuda,RetinaNet ResNet-50 FPN v2,One-stage detector,retinanet_resnet50_fpn_v2,36435610,torchvision:retinanet_resnet50_fpn_v2,42,36435610,36,0.3131798162108914,0.37555163283318627,0.28540313778551796,0.17631847639984083,0.3201655379984951,0.45410885805763074,774.4655304000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_161832_fcos_resnet50_fpn_seed42,cuda,FCOS ResNet-50 FPN,Anchor-free detector,fcos_resnet50_fpn,32073675,torchvision:fcos_resnet50_fpn,42,31851275,1,0.0,0.0,0.0,0.0,0.0,0.0,193.0437469000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_162149_ssd300_vgg16_seed42,cuda,SSD300 VGG16,Single-shot detector,ssd300_vgg16,24280556,torchvision:ssd300_vgg16,42,24241836,17,0.17472199756717008,0.31311599696739956,0.17064178078908213,0.08291518046985612,0.5405759162303665,0.22038420490928495,445.34041600000637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_162918_ssdlite320_mobilenet_v3_large_seed42,cuda,SSDLite MobileNetV3,Mobile single-shot detector,ssdlite320_mobilenet_v3_large,3775640,torchvision:ssdlite320_mobilenet_v3_large,42,3775640,49,0.011148796184177884,0.04899040052962595,0.009686724820598963,0.0026499380463598605,0.06451612903225806,0.03948772678762007,859.235492199994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_164341_maskrcnn_resnet50_fpn_seed42,cuda,Mask R-CNN ResNet-50 FPN,Instance segmentation detector,maskrcnn_resnet50_fpn,43943923,torchvision:maskrcnn_resnet50_fpn,42,43721523,18,0.3960115272753749,0.5599362803663879,0.38175941428865673,0.2439784398631804,0.5571994715984148,0.562700106723586,6383.930929099995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_183037_berrymtl_unified_seed42,cuda,BerryMTL-ConvNeXtV2 (ours),Unified multitask dense prediction,berrymtl_unified,28839431,timm_fpn_multitask:convnextv2_tiny.fcmae_ft_in22k_in1k,42,28839431,6,0.4028481373780333,0.2571428571428571,0.16235275694012913,0.07041268368129375,0.3474114441416894,0.20410885805763074,655.1511135999899,512.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_184154_berrymtl_roi_attention_seed42,cuda,BerryMTL-ROI-Attention (ours),Unified multitask ROI attention,berrymtl_roi_attention,29014157,timm_fpn_roi_attention:convnextv2_tiny.fcmae_ft_in22k_in1k,42,29014157,29,0.6224817548069205,0.3261990314013435,0.21708376862773693,0.12044183611716235,0.393516773464003,0.27854855923159016,1652.0562599999976,512.0,True,mask-attended ROI head,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_190948_berrymtl_roi_attention_ft_seed42,cuda,BerryMTL-ROI-Attention FT (ours),Unified multitask ROI attention,berrymtl_roi_attention_ft,29014157,timm_fpn_roi_attention:convnextv2_tiny.fcmae_ft_in22k_in1k,42,174726,6,0.634487348215383,0.2596758187231227,0.16480333262408636,0.06877672430918294,0.34160139251523064,0.20944503735325506,722.0712658999983,512.0,True,mask-attended ROI head,True,True,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_183037_berrymtl_unified_seed42\best.pt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_192212_berrymtl_centerdet_seed42,cuda,BerryMTL-CenterDet (ours),Unified multitask anchor-free detection,berrymtl_centerdet,29330136,timm_fpn_centernet:convnextv2_tiny.fcmae_ft_in22k_in1k,42,29330136,21,0.5862522268110845,0.12018674136321195,0.2086692857376727,0.07048058862211878,0.06987449515785817,0.4292956243329776,1540.3589402999933,512.0,True,mask-attended ROI head,True,,,True,False,12.0,300.0,20.0,1.25,False,shared,False,False,True,5.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,0.3,0.1,6.0,0.3,0.0,0.0,False,0.0,0.0,0.72,0.42,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_194814_berrymtl_centerdet_plus_seed42,cuda,BerryMTL-CenterDet+Contrastive (ours),Unified multitask anchor-free detection,berrymtl_centerdet_plus,29330136,timm_fpn_centernet:convnextv2_tiny.fcmae_ft_in22k_in1k,42,29330136,3,0.6111660813661641,0.14487498418855674,0.2385530240280352,0.0858865209367027,0.08603335169512745,0.4583778014941302,513.2083963000041,512.0,True,mask-attended ROI head,True,,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_192212_berrymtl_centerdet_seed42\best.pt,True,False,12.0,260.0,20.0,1.25,False,shared,False,False,True,5.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,0.3,0.1,6.0,0.3,0.0,0.0,False,0.0,0.0,0.72,0.42,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_195709_berrymtl_centerdet_agnostic_seed42,cuda,BerryMTL-AgnosticCenter+ROI (ours),Unified multitask anchor-free detection,berrymtl_centerdet_agnostic,29329620,timm_fpn_centernet:convnextv2_tiny.fcmae_ft_in22k_in1k,42,29329620,11,0.6086715235805691,0.13917525773195877,0.2577111440474294,0.09212779918639064,0.08268072289156626,0.4394343649946638,965.5066691999964,512.0,True,mask-attended ROI head,True,,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_194814_berrymtl_centerdet_plus_seed42\best.pt,True,True,12.0,260.0,20.0,1.25,False,shared,False,False,True,1.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,0.3,0.1,6.0,0.3,0.0,0.0,False,0.0,0.0,0.72,0.42,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_201336_berrymtl_centerdet_tiletrain_seed42,cuda,BerryMTL-AgnosticCenter+ROI TileTrain (ours),Unified multitask anchor-free detection,berrymtl_centerdet_tiletrain,29329620,timm_fpn_centernet:convnextv2_tiny.fcmae_ft_in22k_in1k,42,29329620,25,0.6247168444515901,0.18891304347826088,0.2627867447085836,0.10437965865430221,0.11861861861861862,0.4637139807897545,1182.775414299991,512.0,True,mask-attended ROI head,True,,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_195709_berrymtl_centerdet_agnostic_seed42\best.pt,True,True,12.0,300.0,20.0,1.25,False,shared,False,False,True,1.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,0.3,0.1,6.0,0.3,0.0,0.0,False,0.0,0.0,0.68,0.38,0.25,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
