method,display_name,true_class,pred_class,count
resnet50,ResNet-50,fully_ripe,green_immature,16
resnet50,ResNet-50,fully_ripe,over_ripe,78
resnet50,ResNet-50,fully_ripe,pink_turns_purple,15
resnet50,ResNet-50,green_immature,fully_ripe,12
resnet50,ResNet-50,green_immature,over_ripe,1
resnet50,ResNet-50,green_immature,pale_pink,2
resnet50,ResNet-50,green_immature,pink_turns_purple,6
resnet50,ResNet-50,over_ripe,fully_ripe,72
resnet50,ResNet-50,over_ripe,green_immature,3
resnet50,ResNet-50,over_ripe,pink_turns_purple,1
resnet50,ResNet-50,pale_pink,fully_ripe,1
resnet50,ResNet-50,pale_pink,green_immature,16
resnet50,ResNet-50,pale_pink,pink_turns_purple,28
resnet50,ResNet-50,pink_turns_purple,fully_ripe,24
resnet50,ResNet-50,pink_turns_purple,green_immature,3
resnet50,ResNet-50,pink_turns_purple,over_ripe,1
resnet50,ResNet-50,pink_turns_purple,pale_pink,12
resnet50_balanced,ResNet-50 Balanced,fully_ripe,green_immature,17
resnet50_balanced,ResNet-50 Balanced,fully_ripe,over_ripe,233
resnet50_balanced,ResNet-50 Balanced,fully_ripe,pale_pink,3
resnet50_balanced,ResNet-50 Balanced,fully_ripe,pink_turns_purple,25
resnet50_balanced,ResNet-50 Balanced,green_immature,fully_ripe,11
resnet50_balanced,ResNet-50 Balanced,green_immature,over_ripe,18
resnet50_balanced,ResNet-50 Balanced,green_immature,pale_pink,19
resnet50_balanced,ResNet-50 Balanced,green_immature,pink_turns_purple,13
resnet50_balanced,ResNet-50 Balanced,over_ripe,fully_ripe,53
resnet50_balanced,ResNet-50 Balanced,over_ripe,pink_turns_purple,3
resnet50_balanced,ResNet-50 Balanced,pale_pink,fully_ripe,1
resnet50_balanced,ResNet-50 Balanced,pale_pink,green_immature,14
resnet50_balanced,ResNet-50 Balanced,pale_pink,pink_turns_purple,22
resnet50_balanced,ResNet-50 Balanced,pink_turns_purple,fully_ripe,19
resnet50_balanced,ResNet-50 Balanced,pink_turns_purple,over_ripe,10
resnet50_balanced,ResNet-50 Balanced,pink_turns_purple,pale_pink,26
efficientnetv2_s,EfficientNetV2-S,fully_ripe,green_immature,21
efficientnetv2_s,EfficientNetV2-S,fully_ripe,over_ripe,114
efficientnetv2_s,EfficientNetV2-S,fully_ripe,pink_turns_purple,9
efficientnetv2_s,EfficientNetV2-S,green_immature,fully_ripe,15
