method,display_name,true_class,support,errors,error_rate
resnet50,ResNet-50,fully_ripe,918,109,0.1187363834422658
resnet50,ResNet-50,green_immature,2463,21,0.008526187576126675
resnet50,ResNet-50,over_ripe,133,76,0.5714285714285714
resnet50,ResNet-50,pale_pink,106,45,0.42452830188679247
resnet50,ResNet-50,pink_turns_purple,128,40,0.3125
resnet50_balanced,ResNet-50 Balanced,fully_ripe,918,278,0.3028322440087146
resnet50_balanced,ResNet-50 Balanced,green_immature,2463,61,0.02476654486398701
resnet50_balanced,ResNet-50 Balanced,over_ripe,133,56,0.42105263157894735
resnet50_balanced,ResNet-50 Balanced,pale_pink,106,37,0.3490566037735849
resnet50_balanced,ResNet-50 Balanced,pink_turns_purple,128,55,0.4296875
efficientnetv2_s,EfficientNetV2-S,fully_ripe,918,144,0.1568627450980392
efficientnetv2_s,EfficientNetV2-S,green_immature,2463,35,0.014210312626877792
efficientnetv2_s,EfficientNetV2-S,over_ripe,133,76,0.5714285714285714
efficientnetv2_s,EfficientNetV2-S,pale_pink,106,51,0.4811320754716981
efficientnetv2_s,EfficientNetV2-S,pink_turns_purple,128,50,0.390625
convnextv2_tiny,ConvNeXtV2-T,fully_ripe,918,79,0.0860566448801743
convnextv2_tiny,ConvNeXtV2-T,green_immature,2463,33,0.013398294762484775
convnextv2_tiny,ConvNeXtV2-T,over_ripe,133,96,0.7218045112781954
convnextv2_tiny,ConvNeXtV2-T,pale_pink,106,45,0.42452830188679247
convnextv2_tiny,ConvNeXtV2-T,pink_turns_purple,128,52,0.40625
mobilenetv3_large,MobileNetV3-Large,fully_ripe,918,71,0.07734204793028322
mobilenetv3_large,MobileNetV3-Large,green_immature,2463,39,0.015834348355663823
mobilenetv3_large,MobileNetV3-Large,over_ripe,133,91,0.6842105263157895
mobilenetv3_large,MobileNetV3-Large,pale_pink,106,22,0.20754716981132076
mobilenetv3_large,MobileNetV3-Large,pink_turns_purple,128,76,0.59375
efficientnet_b4,EfficientNet-B4,fully_ripe,918,94,0.10239651416122005
efficientnet_b4,EfficientNet-B4,green_immature,2463,30,0.012180267965895249
efficientnet_b4,EfficientNet-B4,over_ripe,133,80,0.6015037593984962
efficientnet_b4,EfficientNet-B4,pale_pink,106,59,0.5566037735849056
efficientnet_b4,EfficientNet-B4,pink_turns_purple,128,46,0.359375
vit_base_patch16_224,ViT-Base/16,fully_ripe,918,73,0.07952069716775599
vit_base_patch16_224,ViT-Base/16,green_immature,2463,35,0.014210312626877792
vit_base_patch16_224,ViT-Base/16,over_ripe,133,96,0.7218045112781954
vit_base_patch16_224,ViT-Base/16,pale_pink,106,38,0.3584905660377358
vit_base_patch16_224,ViT-Base/16,pink_turns_purple,128,53,0.4140625
swin_tiny,Swin-T,fully_ripe,918,96,0.10457516339869281
swin_tiny,Swin-T,green_immature,2463,44,0.017864393016646368
swin_tiny,Swin-T,over_ripe,133,86,0.6466165413533834
swin_tiny,Swin-T,pale_pink,106,30,0.2830188679245283
swin_tiny,Swin-T,pink_turns_purple,128,46,0.359375
deit3_small,DeiT-III-S,fully_ripe,918,79,0.0860566448801743
deit3_small,DeiT-III-S,green_immature,2463,30,0.012180267965895249
deit3_small,DeiT-III-S,over_ripe,133,90,0.6766917293233082
deit3_small,DeiT-III-S,pale_pink,106,46,0.4339622641509434
deit3_small,DeiT-III-S,pink_turns_purple,128,60,0.46875
maxvit_tiny,MaxViT-T,fully_ripe,918,128,0.1394335511982571
maxvit_tiny,MaxViT-T,green_immature,2463,35,0.014210312626877792
maxvit_tiny,MaxViT-T,over_ripe,133,70,0.5263157894736842
maxvit_tiny,MaxViT-T,pale_pink,106,48,0.4528301886792453
maxvit_tiny,MaxViT-T,pink_turns_purple,128,55,0.4296875
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,fully_ripe,918,214,0.23311546840958605
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,green_immature,2463,126,0.05115712545676005
dinov2_vitb14_linear,DINOv2 ViT-B/14 + Linear,over_ripe,133,106,0.7969924812030075
