method,display_name,path,true_class,pred_class,confidence
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00257_20260212_161655_f00003374_t000112.478s_fully_ripe_0023.jpg,fully_ripe,green_immature,0.96630859375
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00007_20260212_161655_f00000198_t000006.601s_fully_ripe_0015.jpg,fully_ripe,over_ripe,0.96142578125
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\pale_pink\00669_dji_fly_20260217_114521_0_f00000372_t000012.400s_pale_pink_0003.jpg,pale_pink,green_immature,0.96044921875
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\20260430_111630_fully_ripe_0018.jpg,fully_ripe,green_immature,0.9599609375
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\20260430_114008_fully_ripe_0004.jpg,fully_ripe,green_immature,0.95458984375
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00321_20260212_164110_f00000473_t000015.769s_fully_ripe_0003.jpg,fully_ripe,over_ripe,0.9541015625
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00019_20260212_161655_f00000327_t000010.901s_fully_ripe_0008.jpg,fully_ripe,over_ripe,0.9501953125
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113251_over_ripe_0005.jpg,over_ripe,fully_ripe,0.9443359375
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0009.jpg,over_ripe,fully_ripe,0.943359375
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\green_immature\20260430_113229_green_immature_0007.jpg,green_immature,fully_ripe,0.9423828125
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0005.jpg,over_ripe,fully_ripe,0.94140625
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_105552_over_ripe_0001.jpg,over_ripe,fully_ripe,0.94140625
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0007.jpg,over_ripe,fully_ripe,0.93212890625
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\pale_pink\20260430_114546_pale_pink_0002.jpg,pale_pink,green_immature,0.93115234375
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0011.jpg,over_ripe,fully_ripe,0.9306640625
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0012.jpg,over_ripe,fully_ripe,0.9287109375
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\20260430_110757_fully_ripe_0008.jpg,fully_ripe,green_immature,0.927734375
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113919_over_ripe_0002.jpg,over_ripe,fully_ripe,0.92724609375
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00227_20260212_161655_f00002930_t000097.676s_fully_ripe_0027.jpg,fully_ripe,over_ripe,0.92626953125
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\pale_pink\20260430_111434_pale_pink_0001.jpg,pale_pink,green_immature,0.92578125
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0006.jpg,over_ripe,fully_ripe,0.92236328125
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0014.jpg,over_ripe,fully_ripe,0.921875
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113919_over_ripe_0001.jpg,over_ripe,fully_ripe,0.91748046875
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113229_over_ripe_0013.jpg,over_ripe,fully_ripe,0.91162109375
resnet50,ResNet-50,.\outputs\fresh_benchmark_514\06_classification\crops\over_ripe\20260430_113251_over_ripe_0002.jpg,over_ripe,fully_ripe,0.91162109375
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\pale_pink\20260430_111952_pale_pink_0001.jpg,pale_pink,pink_turns_purple,0.99853515625
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00257_20260212_161655_f00003374_t000112.478s_fully_ripe_0032.jpg,fully_ripe,over_ripe,0.99755859375
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00082_20260212_161655_f00001136_t000037.870s_fully_ripe_0010.jpg,fully_ripe,over_ripe,0.99755859375
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00082_20260212_161655_f00001136_t000037.870s_fully_ripe_0005.jpg,fully_ripe,over_ripe,0.9970703125
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00140_20260212_161655_f00001835_t000061.173s_fully_ripe_0006.jpg,fully_ripe,over_ripe,0.9970703125
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00140_20260212_161655_f00001835_t000061.173s_fully_ripe_0003.jpg,fully_ripe,over_ripe,0.99658203125
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00669_dji_fly_20260217_114521_0_f00000372_t000012.400s_fully_ripe_0020.jpg,fully_ripe,over_ripe,0.99658203125
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00127_20260212_161655_f00001703_t000056.772s_fully_ripe_0013.jpg,fully_ripe,over_ripe,0.99609375
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\fully_ripe\00227_20260212_161655_f00002930_t000097.676s_fully_ripe_0023.jpg,fully_ripe,over_ripe,0.99609375
resnet50_balanced,ResNet-50 Balanced,.\outputs\fresh_benchmark_514\06_classification\crops\pink_turns_purple\00019_20260212_161655_f00000327_t000010.901s_pink_turns_purple_0002.jpg,pink_turns_purple,pale_pink,0.99609375
