display_name,count_bin,abs_error
BerryMTL-AgnosticCenter+ROI (ours),"(1.999, 22.0]",4.552734375
BerryMTL-AgnosticCenter+ROI (ours),"(22.0, 34.0]",7.467516447368421
BerryMTL-AgnosticCenter+ROI (ours),"(34.0, 60.0]",8.927631578947368
BerryMTL-AgnosticCenter+ROI (ours),"(60.0, 269.0]",21.957236842105264
BerryMTL-AgnosticCenter+ROI TileTrain (ours),"(1.999, 22.0]",5.433984375
BerryMTL-AgnosticCenter+ROI TileTrain (ours),"(22.0, 34.0]",4.878289473684211
BerryMTL-AgnosticCenter+ROI TileTrain (ours),"(34.0, 60.0]",8.778782894736842
BerryMTL-AgnosticCenter+ROI TileTrain (ours),"(60.0, 269.0]",19.601973684210527
BerryMTL-AlignedHighResCenterDet (ours),"(1.999, 22.0]",4.889453125
BerryMTL-AlignedHighResCenterDet (ours),"(22.0, 34.0]",5.666940789473684
BerryMTL-AlignedHighResCenterDet (ours),"(34.0, 60.0]",7.7738486842105265
BerryMTL-AlignedHighResCenterDet (ours),"(60.0, 269.0]",22.189144736842106
BerryMTL-CenterDet (ours),"(1.999, 22.0]",6.8421875
BerryMTL-CenterDet (ours),"(22.0, 34.0]",14.024671052631579
BerryMTL-CenterDet (ours),"(34.0, 60.0]",15.929276315789474
BerryMTL-CenterDet (ours),"(60.0, 269.0]",26.30263157894737
BerryMTL-CenterDet+Contrastive (ours),"(1.999, 22.0]",5.002734375
BerryMTL-CenterDet+Contrastive (ours),"(22.0, 34.0]",8.529605263157896
BerryMTL-CenterDet+Contrastive (ours),"(34.0, 60.0]",6.5962171052631575
BerryMTL-CenterDet+Contrastive (ours),"(60.0, 269.0]",26.082236842105264
BerryMTL-ConvNeXtV2 (ours),"(1.999, 22.0]",10.6078125
BerryMTL-ConvNeXtV2 (ours),"(22.0, 34.0]",11.042763157894736
BerryMTL-ConvNeXtV2 (ours),"(34.0, 60.0]",9.327302631578947
BerryMTL-ConvNeXtV2 (ours),"(60.0, 269.0]",35.44407894736842
BerryMTL-DecoupledCenterDet (ours),"(1.999, 22.0]",9.077197265625
BerryMTL-DecoupledCenterDet (ours),"(22.0, 34.0]",3.9802631578947367
BerryMTL-DecoupledCenterDet (ours),"(34.0, 60.0]",16.52138157894737
BerryMTL-DecoupledCenterDet (ours),"(60.0, 269.0]",116.41611842105263
BerryMTL-DecoupledCenterDet+ResidualCount (ours),"(1.999, 22.0]",5.25390625
BerryMTL-DecoupledCenterDet+ResidualCount (ours),"(22.0, 34.0]",6.25
BerryMTL-DecoupledCenterDet+ResidualCount (ours),"(34.0, 60.0]",6.957236842105263
BerryMTL-DecoupledCenterDet+ResidualCount (ours),"(60.0, 269.0]",22.154605263157894
BerryMTL-HiTile-QualityDet (ours),"(1.999, 22.0]",4.66748046875
BerryMTL-HiTile-QualityDet (ours),"(22.0, 34.0]",5.110197368421052
BerryMTL-HiTile-QualityDet (ours),"(34.0, 60.0]",8.392269736842104
BerryMTL-HiTile-QualityDet (ours),"(60.0, 269.0]",18.80592105263158
BerryMTL-HighResCenterDet+ResidualCount (ours),"(1.999, 22.0]",5.5078125
BerryMTL-HighResCenterDet+ResidualCount (ours),"(22.0, 34.0]",6.935855263157895
BerryMTL-HighResCenterDet+ResidualCount (ours),"(34.0, 60.0]",8.145559210526315
BerryMTL-HighResCenterDet+ResidualCount (ours),"(60.0, 269.0]",23.036184210526315
