path,y_true,y_pred,error,abs_error,display_name,method,stem
.\data\combined_514\images\00007_20260212_161655_f00000198_t000006.601s.jpg,154.0,151.625,-2.375,2.375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\00019_20260212_161655_f00000327_t000010.901s.jpg,136.0,154.375,18.375,18.375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\00082_20260212_161655_f00001136_t000037.870s.jpg,174.0,197.25,23.25,23.25,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\00127_20260212_161655_f00001703_t000056.772s.jpg,155.0,180.25,25.25,25.25,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\00140_20260212_161655_f00001835_t000061.173s.jpg,196.0,194.25,-1.75,1.75,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\00223_20260212_161655_f00002878_t000095.943s.jpg,143.0,175.25,32.25,32.25,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\00227_20260212_161655_f00002930_t000097.676s.jpg,171.0,180.375,9.375,9.375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\00246_20260212_161655_f00003255_t000108.511s.jpg,131.0,188.375,57.375,57.375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\00257_20260212_161655_f00003374_t000112.478s.jpg,172.0,180.875,8.875,8.875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\00321_20260212_164110_f00000473_t000015.769s.jpg,133.0,125.6875,-7.3125,7.3125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\00587_dji_fly_20260217_114201_0_f00000392_t000013.067s.jpg,86.0,184.125,98.125,98.125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\00611_dji_fly_20260217_114201_0_f00000658_t000021.933s.jpg,269.0,236.0,-33.0,33.0,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\00669_dji_fly_20260217_114521_0_f00000372_t000012.400s.jpg,269.0,214.875,-54.125,54.125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_105347.jpg,51.0,42.40625,-8.59375,8.59375,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_105507.jpg,38.0,27.8125,-10.1875,10.1875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_105529.jpg,23.0,28.96875,5.96875,5.96875,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_105552.jpg,102.0,65.25,-36.75,36.75,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_105607.jpg,33.0,30.609375,-2.390625,2.390625,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_105707.jpg,33.0,32.6875,-0.3125,0.3125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_105805.jpg,18.0,21.03125,3.03125,3.03125,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_105937.jpg,53.0,33.9375,-19.0625,19.0625,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_110121.jpg,29.0,43.625,14.625,14.625,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_110309.jpg,38.0,37.75,-0.25,0.25,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_110337.jpg,22.0,14.0,-8.0,8.0,EfficientNetV2-S Regression,count_efficientnetv2_s,
.\data\combined_514\images\20260430_110428.jpg,22.0,21.546875,-0.453125,0.453125,EfficientNetV2-S Regression,count_efficientnetv2_s,
