task,run_dir,device,display_name,family,method,parameters,resolved_model_name,seed,trainable_parameters,best_epoch,best_val_metric,f1_50,map50,map50_95,precision50,recall50,train_seconds,image_size,shared_backbone,classification_head,roi_attention,train_roi_only,init_source,center_detection_head,class_agnostic_detection,count_aware_bias,count_aware_max,count_aware_min,count_aware_multiplier,count_aware_topk,decoder_branching,decoupled_decoder,dense_count_residual,density_count_head,detection_classes,highres_detection,roi_class_weight_power,roi_focal_gamma,roi_global_context,roi_quality_background_count,roi_quality_inference_power,roi_quality_jitter_count,roi_quality_loss_weight,segmentation_box_refine,segmentation_box_refine_blend,segmentation_box_refine_expansion,segmentation_box_refine_min_pixels,segmentation_box_refine_threshold,segmentation_support_power,segmentation_support_threshold,task_aligned_detection,train_image_sampling_power,train_tile_anchor_class_power,train_tile_max_scale,train_tile_min_scale,train_tile_min_visibility,train_tile_prob,model_name,source_checkpoint,teacher_classification_loss_weight,teacher_count_loss_weight,teacher_detection_loss_weight,teacher_dir,teacher_segmentation_loss_weight,adapter_bottleneck,adapter_fusion,adapter_lr,encoder_lr,freeze_encoder_epochs,head_lr,balancer_lr,loss_balancer,uw_log_var_classification,uw_log_var_counting,uw_log_var_detection,uw_log_var_segmentation,uw_weight_classification,uw_weight_counting,uw_weight_detection,uw_weight_segmentation,dice,dice_foreground,loss,miou,miou_foreground,pixel_accuracy,linear_probe,bias,mae,mape,r2,rmse,accuracy,balanced_accuracy,macro_f1,weighted_f1
counting,.\outputs\fresh_benchmark_514\05_counting\runs\20260704_213802_berrymtl_centerdet_hitile_quality_seed42,cuda,BerryMTL-HiTile-QualityDet (ours),Unified multitask anchor-free detection,berrymtl_centerdet_hitile_quality,31582358,timm_fpn_centernet:convnextv2_tiny.fcmae_ft_in22k_in1k,42,31582358,27,0.6649345382565184,,,,,,1175.251629700011,768.0,True,mask-attended ROI head,True,,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_212919_berrymtl_centerdet_highres_residual_seed42\best.pt,True,True,12.0,110.0,18.0,1.6,True,det_cls_vs_seg_count,True,True,True,1.0,True,1.0,0.0,True,0.0,0.0,0.0,0.0,False,0.3,0.1,6.0,0.3,0.35,0.035,True,0.0,0.0,0.58,0.3,0.2,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2601207386363635,9.18453226461039,26.665635544397453,0.939711272199842,14.504080419069627,,,,
counting,.\outputs\fresh_benchmark_514\05_counting\runs\20260705_130302_berrymtl_specialist_guided_distill_seed42,cuda,BerryMTL-SpecialistGuidedDistill (ours),Specialist-guided unified distillation,berrymtl_specialist_guided_distill,31582358,,42,31582358,5,0.6799774714154981,,,,,,1114.9320621999796,768.0,,,,,,,True,,,,,,,True,True,,1.0,True,,,True,,,,,,,,,,,,True,,,,,,,convnextv2_tiny.fcmae_ft_in22k_in1k,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42\best.pt,0.25,0.0,0.18,.\outputs\fresh_benchmark_514\07_cross_task_analysis\specialist_teachers\best_individual_514,0.1,,,,,,,,,,,,,,,,,,,,,,,,-1.363687094155844,9.272372159090908,27.72236158396588,0.9338425286923927,15.193631459728042,,,,
counting,.\outputs\fresh_benchmark_514\05_counting\runs\20260705_142348_berrymtl_specialist_adapter_fusion_uncertainty_seed42,cuda,BerryMTL-SpecialistAdapterFusion-UW (ours),Specialist adapter fusion + uncertainty weighting,berrymtl_specialist_adapter_fusion_uncertainty,31727178,,42,31727178,4,0.6832769943281684,,,,,,1375.1890083999897,768.0,,,,,,,True,,,,,,,True,True,,1.0,True,,,True,,,,,,,,,,,,True,,,,,,,convnextv2_tiny.fcmae_ft_in22k_in1k,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42\best.pt,0.2,0.0,0.1,.\outputs\fresh_benchmark_514\07_cross_task_analysis\specialist_teachers\best_individual_514,0.06,48.0,True,0.00016,4e-06,4.0,3e-05,8e-05,uncertainty,-0.11687372624874115,-0.1170836091041565,0.10420405864715576,-0.11660267412662506,1.123977541923523,1.124213457107544,0.9010413885116577,1.1236728429794312,,,,,,,,-0.3483157467532468,9.461140422077921,28.612889363126552,0.9341070053169733,15.163231382724327,,,,
counting,.\outputs\fresh_benchmark_514\05_counting\runs\20260705_134300_berrymtl_specialist_adapter_fusion_seed42,cuda,BerryMTL-SpecialistAdapterFusion (ours),Specialist-initialized adapter fusion,berrymtl_specialist_adapter_fusion,31727178,,42,31727178,2,0.6816990110632285,,,,,,1301.4883641999913,768.0,,,,,,,True,,,,,,,True,True,,1.0,True,,,True,,,,,,,,,,,,True,,,,,,,convnextv2_tiny.fcmae_ft_in22k_in1k,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42\best.pt,0.2,0.0,0.1,.\outputs\fresh_benchmark_514\07_cross_task_analysis\specialist_teachers\best_individual_514,0.06,48.0,True,0.00016,4e-06,4.0,3e-05,,,,,,,,,,,,,,,,,,-0.5780489042207793,9.475370332792208,28.518412279593086,0.9337762749966494,15.20123742106245,,,,
counting,.\outputs\fresh_benchmark_514\05_counting\runs\20260704_201336_berrymtl_centerdet_tiletrain_seed42,cuda,BerryMTL-AgnosticCenter+ROI TileTrain (ours),Unified multitask anchor-free detection,berrymtl_centerdet_tiletrain,29329620,timm_fpn_centernet:convnextv2_tiny.fcmae_ft_in22k_in1k,42,29329620,25,0.6247168444515901,,,,,,1182.775414299991,512.0,True,mask-attended ROI head,True,,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_195709_berrymtl_centerdet_agnostic_seed42\best.pt,True,True,12.0,300.0,20.0,1.25,False,shared,False,False,True,1.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,0.3,0.1,6.0,0.3,0.0,0.0,False,0.0,0.0,0.68,0.38,0.25,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4748376623376624,9.61820211038961,28.463706209299644,0.935679066844489,14.98125883550996,,,,
counting,.\outputs\fresh_benchmark_514\05_counting\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42,cuda,BerryMTL-TeacherAlignedDet (ours),Unified multitask anchor-free detection,berrymtl_teacher_aligned_det,31582358,timm_fpn_centernet:convnextv2_tiny.fcmae_ft_in22k_in1k,42,31582358,8,0.6822980950110071,,,,,,622.5741382999986,768.0,True,mask-attended ROI head,True,,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_213802_berrymtl_centerdet_hitile_quality_seed42\best.pt,True,True,12.0,110.0,18.0,1.6,True,det_cls_vs_seg_count,True,True,True,1.0,True,1.18,1.35,True,8.0,0.45,2.0,0.28,True,0.25,0.08,6.0,0.25,0.35,0.035,True,0.55,0.75,0.58,0.3,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3718800730519485,9.935597605519481,27.612757214583176,0.9271094692137778,15.948053932314883,,,,
counting,.\outputs\fresh_benchmark_514\05_counting\runs\20260704_211044_berrymtl_centerdet_aligned_highres_seed42,cuda,BerryMTL-AlignedHighResCenterDet (ours),Unified multitask anchor-free detection,berrymtl_centerdet_aligned_highres,31582358,timm_fpn_centernet:convnextv2_tiny.fcmae_ft_in22k_in1k,42,31582358,14,0.604853923229341,,,,,,1093.9687575000135,512.0,True,mask-attended ROI head,True,,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_204408_berrymtl_centerdet_decoupled_residual_seed42\best.pt,True,True,12.0,350.0,20.0,1.25,False,det_cls_vs_seg_count,True,True,True,1.0,True,1.0,0.0,True,0.0,0.0,0.0,0.0,False,0.3,0.1,6.0,0.3,0.0,0.0,True,0.0,0.0,0.72,0.42,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6374797077922079,10.061789772727273,30.117317369763917,0.927962778366386,15.854429402694196,,,,
counting,.\outputs\fresh_benchmark_514\05_counting\runs\20260704_204408_berrymtl_centerdet_decoupled_residual_seed42,cuda,BerryMTL-DecoupledCenterDet+ResidualCount (ours),Unified multitask anchor-free detection,berrymtl_centerdet_decoupled_residual,30535253,timm_fpn_centernet:convnextv2_tiny.fcmae_ft_in22k_in1k,42,30535253,7,0.6268743912879188,,,,,,751.0537027999962,512.0,True,mask-attended ROI head,True,,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_201336_berrymtl_centerdet_tiletrain_seed42\best.pt,True,True,12.0,300.0,20.0,1.25,False,det_cls_vs_seg_count,True,True,True,1.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,0.3,0.1,6.0,0.3,0.0,0.0,False,0.0,0.0,0.72,0.42,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.536323051948052,10.090300324675324,29.582181387161494,0.9294263090887374,15.6925512189101,,,,
counting,.\outputs\fresh_benchmark_514\05_counting\runs\20260704_205702_berrymtl_centerdet_shared_matched_seed42,cuda,BerryMTL-SharedCenterDet Matched (ours),Unified multitask anchor-free detection,berrymtl_centerdet_shared_matched,29329620,timm_fpn_centernet:convnextv2_tiny.fcmae_ft_in22k_in1k,42,29329620,8,0.6355201945438845,,,,,,799.913954100004,512.0,True,mask-attended ROI head,True,,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_201336_berrymtl_centerdet_tiletrain_seed42\best.pt,True,True,12.0,300.0,20.0,1.25,False,shared,False,False,True,1.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,0.3,0.1,6.0,0.3,0.0,0.0,False,0.0,0.0,0.72,0.42,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05154220779220779,10.4825487012987,35.39577205439323,0.9183869253606229,16.875319693189876,,,,
counting,.\outputs\fresh_benchmark_514\05_counting\runs\20260704_195709_berrymtl_centerdet_agnostic_seed42,cuda,BerryMTL-AgnosticCenter+ROI (ours),Unified multitask anchor-free detection,berrymtl_centerdet_agnostic,29329620,timm_fpn_centernet:convnextv2_tiny.fcmae_ft_in22k_in1k,42,29329620,11,0.6086715235805691,,,,,,965.5066691999964,512.0,True,mask-attended ROI head,True,,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_194814_berrymtl_centerdet_plus_seed42\best.pt,True,True,12.0,260.0,20.0,1.25,False,shared,False,False,True,1.0,False,1.0,0.0,False,0.0,0.0,0.0,0.0,False,0.3,0.1,6.0,0.3,0.0,0.0,False,0.0,0.0,0.72,0.42,0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9565746753246753,10.646103896103897,32.35045349006572,0.9246974292838254,16.20977701310947,,,,
