method,display_name,class_id,class_name,tp,fp,fn,gt,pred,fn_rate,fp_per_gt
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,1,green_immature,1318,634,1145,2463,1952,0.464880227365002,0.2574096630125863
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,2,pale_pink,61,60,45,106,121,0.42452830188679247,0.5660377358490566
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,3,pink_turns_purple,75,89,53,128,164,0.4140625,0.6953125
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,4,fully_ripe,547,366,371,918,913,0.40413943355119825,0.39869281045751637
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,5,over_ripe,32,85,101,133,117,0.7593984962406015,0.6390977443609023
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),1,green_immature,1376,1459,1087,2463,2835,0.44133170929760457,0.5923670320747056
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),2,pale_pink,69,233,37,106,302,0.3490566037735849,2.19811320754717
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),3,pink_turns_purple,80,213,48,128,293,0.375,1.6640625
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),4,fully_ripe,603,1068,315,918,1671,0.3431372549019608,1.1633986928104576
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),5,over_ripe,38,168,95,133,206,0.7142857142857143,1.263157894736842
fasterrcnn_resnet50_fpn_v2,Faster R-CNN ResNet-50 FPN v2,1,green_immature,1092,1227,1371,2463,2319,0.5566382460414129,0.4981729598051157
fasterrcnn_resnet50_fpn_v2,Faster R-CNN ResNet-50 FPN v2,2,pale_pink,54,61,52,106,115,0.49056603773584906,0.5754716981132075
fasterrcnn_resnet50_fpn_v2,Faster R-CNN ResNet-50 FPN v2,3,pink_turns_purple,70,75,58,128,145,0.453125,0.5859375
fasterrcnn_resnet50_fpn_v2,Faster R-CNN ResNet-50 FPN v2,4,fully_ripe,503,390,415,918,893,0.45206971677559915,0.42483660130718953
fasterrcnn_resnet50_fpn_v2,Faster R-CNN ResNet-50 FPN v2,5,over_ripe,0,0,133,133,0,1.0,0.0
fasterrcnn_mobilenet_v3_large_fpn,Faster R-CNN MobileNetV3 FPN,1,green_immature,706,1598,1757,2463,2304,0.7133576938692652,0.6488022736500203
fasterrcnn_mobilenet_v3_large_fpn,Faster R-CNN MobileNetV3 FPN,2,pale_pink,44,56,62,106,100,0.5849056603773585,0.5283018867924528
fasterrcnn_mobilenet_v3_large_fpn,Faster R-CNN MobileNetV3 FPN,3,pink_turns_purple,41,69,87,128,110,0.6796875,0.5390625
fasterrcnn_mobilenet_v3_large_fpn,Faster R-CNN MobileNetV3 FPN,4,fully_ripe,389,803,529,918,1192,0.5762527233115469,0.8747276688453159
fasterrcnn_mobilenet_v3_large_fpn,Faster R-CNN MobileNetV3 FPN,5,over_ripe,9,61,124,133,70,0.9323308270676691,0.45864661654135336
fasterrcnn_mobilenet_v3_large_320_fpn,Faster R-CNN MobileNetV3 320 FPN,1,green_immature,108,1355,2355,2463,1463,0.9561510353227771,0.5501421031262688
fasterrcnn_mobilenet_v3_large_320_fpn,Faster R-CNN MobileNetV3 320 FPN,2,pale_pink,14,42,92,106,56,0.8679245283018868,0.39622641509433965
fasterrcnn_mobilenet_v3_large_320_fpn,Faster R-CNN MobileNetV3 320 FPN,3,pink_turns_purple,18,71,110,128,89,0.859375,0.5546875
fasterrcnn_mobilenet_v3_large_320_fpn,Faster R-CNN MobileNetV3 320 FPN,4,fully_ripe,119,680,799,918,799,0.8703703703703703,0.7407407407407407
fasterrcnn_mobilenet_v3_large_320_fpn,Faster R-CNN MobileNetV3 320 FPN,5,over_ripe,0,11,133,133,11,1.0,0.08270676691729323
retinanet_resnet50_fpn,RetinaNet ResNet-50 FPN,1,green_immature,1327,2865,1136,2463,4192,0.46122614697523345,1.1632155907429964
retinanet_resnet50_fpn,RetinaNet ResNet-50 FPN,2,pale_pink,55,119,51,106,174,0.4811320754716981,1.1226415094339623
retinanet_resnet50_fpn,RetinaNet ResNet-50 FPN,3,pink_turns_purple,59,88,69,128,147,0.5390625,0.6875
retinanet_resnet50_fpn,RetinaNet ResNet-50 FPN,4,fully_ripe,537,1055,381,918,1592,0.4150326797385621,1.1492374727668846
retinanet_resnet50_fpn,RetinaNet ResNet-50 FPN,5,over_ripe,24,195,109,133,219,0.8195488721804511,1.4661654135338347
retinanet_resnet50_fpn_v2,RetinaNet ResNet-50 FPN v2,1,green_immature,1060,2280,1403,2463,3340,0.5696305318717012,0.925700365408039
retinanet_resnet50_fpn_v2,RetinaNet ResNet-50 FPN v2,2,pale_pink,52,120,54,106,172,0.5094339622641509,1.1320754716981132
retinanet_resnet50_fpn_v2,RetinaNet ResNet-50 FPN v2,3,pink_turns_purple,57,98,71,128,155,0.5546875,0.765625
retinanet_resnet50_fpn_v2,RetinaNet ResNet-50 FPN v2,4,fully_ripe,498,869,420,918,1367,0.45751633986928103,0.9466230936819172
retinanet_resnet50_fpn_v2,RetinaNet ResNet-50 FPN v2,5,over_ripe,35,247,98,133,282,0.7368421052631579,1.8571428571428572
fcos_resnet50_fpn,FCOS ResNet-50 FPN,1,green_immature,0,40,2463,2463,40,1.0,0.016240357287860333
fcos_resnet50_fpn,FCOS ResNet-50 FPN,2,pale_pink,0,0,106,106,0,1.0,0.0
fcos_resnet50_fpn,FCOS ResNet-50 FPN,3,pink_turns_purple,0,0,128,128,0,1.0,0.0
fcos_resnet50_fpn,FCOS ResNet-50 FPN,4,fully_ripe,0,0,918,918,0,1.0,0.0
fcos_resnet50_fpn,FCOS ResNet-50 FPN,5,over_ripe,0,0,133,133,0,1.0,0.0
ssd300_vgg16,SSD300 VGG16,1,green_immature,456,431,2007,2463,887,0.8148599269183922,0.1749898497766951
ssd300_vgg16,SSD300 VGG16,2,pale_pink,30,19,76,106,49,0.7169811320754716,0.1792452830188679
ssd300_vgg16,SSD300 VGG16,3,pink_turns_purple,39,41,89,128,80,0.6953125,0.3203125
ssd300_vgg16,SSD300 VGG16,4,fully_ripe,297,197,621,918,494,0.6764705882352942,0.21459694989106753
ssd300_vgg16,SSD300 VGG16,5,over_ripe,4,14,129,133,18,0.9699248120300752,0.10526315789473684
ssdlite320_mobilenet_v3_large,SSDLite MobileNetV3,1,green_immature,63,1599,2400,2463,1662,0.97442143727162,0.6492082825822169
ssdlite320_mobilenet_v3_large,SSDLite MobileNetV3,2,pale_pink,6,13,100,106,19,0.9433962264150944,0.12264150943396226
