method,display_name,is_unified,image_size,class_sensitive_map50,localization_map50,localization_map50_95,localization_precision50,localization_recall50,matched_boxes_iou50,matched_box_class_accuracy,matched_box_class_macro_f1,run_dir
fasterrcnn_resnet50_fpn_thr005,Faster R-CNN ResNet-50 FPN (thr=0.05),False,768,0.4161,0.5245,0.304,0.4238,0.6001,2249,0.92,0.7048,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_151212_fasterrcnn_resnet50_fpn_thr005_seed42
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,False,768,0.3869,0.5152,0.3063,0.6553,0.5712,2141,0.9173,0.6974,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_145722_fasterrcnn_resnet50_fpn_seed42
maskrcnn_resnet50_fpn,Mask R-CNN ResNet-50 FPN,False,768,0.3818,0.5136,0.3026,0.581,0.5867,2199,0.9231,0.6698,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_164341_maskrcnn_resnet50_fpn_seed42
berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours),True,768,0.3718,0.5361,0.2461,0.4497,0.6094,2284,0.9194,0.7173,.\outputs\fresh_benchmark_514\03_detection\runs\20260705_134300_berrymtl_specialist_adapter_fusion_seed42
berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours),True,768,0.3714,0.5399,0.2507,0.4516,0.6123,2295,0.9216,0.7187,.\outputs\fresh_benchmark_514\03_detection\runs\20260705_142348_berrymtl_specialist_adapter_fusion_uncertainty_seed42
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),True,768,0.3688,0.517,0.2329,0.4428,0.5872,2201,0.9196,0.7171,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42
berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours),True,768,0.3539,0.5458,0.2528,0.4729,0.6193,2321,0.9181,0.709,.\outputs\fresh_benchmark_514\03_detection\runs\20260705_130302_berrymtl_specialist_guided_distill_seed42
berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours),True,768,0.3364,0.4967,0.2083,0.4217,0.579,2170,0.9203,0.715,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_213802_berrymtl_centerdet_hitile_quality_seed42
retinanet_resnet50_fpn,RetinaNet ResNet-50 FPN,False,768,0.3296,0.4685,0.2648,0.3343,0.564,2114,0.9125,0.6728,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_155358_retinanet_resnet50_fpn_seed42
fasterrcnn_resnet50_fpn_v2,Faster R-CNN ResNet-50 FPN v2,False,768,0.3199,0.4011,0.2189,0.5248,0.4861,1822,0.9215,0.6377,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_152142_fasterrcnn_resnet50_fpn_v2_seed42
