method,display_name,image_index,filename,image_path,tp,fp,fn,gt,pred,precision50,recall50,failure_score
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,0,00007_20260212_161655_f00000198_t000006.601s.jpg,.\data\combined_514\images\00007_20260212_161655_f00000198_t000006.601s.jpg,35,44,47,82,79,0.4430379746835443,0.4268292682926829,91
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,1,00019_20260212_161655_f00000327_t000010.901s.jpg,.\data\combined_514\images\00019_20260212_161655_f00000327_t000010.901s.jpg,49,43,39,88,92,0.532608695652174,0.5568181818181818,82
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,2,00082_20260212_161655_f00001136_t000037.870s.jpg,.\data\combined_514\images\00082_20260212_161655_f00001136_t000037.870s.jpg,50,38,56,106,88,0.5681818181818182,0.4716981132075472,94
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,3,00127_20260212_161655_f00001703_t000056.772s.jpg,.\data\combined_514\images\00127_20260212_161655_f00001703_t000056.772s.jpg,48,52,45,93,100,0.48,0.5161290322580645,97
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,4,00140_20260212_161655_f00001835_t000061.173s.jpg,.\data\combined_514\images\00140_20260212_161655_f00001835_t000061.173s.jpg,39,43,99,138,82,0.47560975609756095,0.2826086956521739,142
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,5,00223_20260212_161655_f00002878_t000095.943s.jpg,.\data\combined_514\images\00223_20260212_161655_f00002878_t000095.943s.jpg,46,43,64,110,89,0.5168539325842697,0.41818181818181815,107
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,6,00227_20260212_161655_f00002930_t000097.676s.jpg,.\data\combined_514\images\00227_20260212_161655_f00002930_t000097.676s.jpg,45,39,84,129,84,0.5357142857142857,0.3488372093023256,123
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,7,00246_20260212_161655_f00003255_t000108.511s.jpg,.\data\combined_514\images\00246_20260212_161655_f00003255_t000108.511s.jpg,40,29,38,78,69,0.5797101449275363,0.5128205128205128,67
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,8,00257_20260212_161655_f00003374_t000112.478s.jpg,.\data\combined_514\images\00257_20260212_161655_f00003374_t000112.478s.jpg,50,40,67,117,90,0.5555555555555556,0.42735042735042733,107
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,9,00321_20260212_164110_f00000473_t000015.769s.jpg,.\data\combined_514\images\00321_20260212_164110_f00000473_t000015.769s.jpg,61,33,40,101,94,0.648936170212766,0.6039603960396039,73
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,10,00587_dji_fly_20260217_114201_0_f00000392_t000013.067s.jpg,.\data\combined_514\images\00587_dji_fly_20260217_114201_0_f00000392_t000013.067s.jpg,33,15,22,55,48,0.6875,0.6,37
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,11,00611_dji_fly_20260217_114201_0_f00000658_t000021.933s.jpg,.\data\combined_514\images\00611_dji_fly_20260217_114201_0_f00000658_t000021.933s.jpg,61,39,89,150,100,0.61,0.4066666666666667,128
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,12,00669_dji_fly_20260217_114521_0_f00000372_t000012.400s.jpg,.\data\combined_514\images\00669_dji_fly_20260217_114521_0_f00000372_t000012.400s.jpg,59,41,119,178,100,0.59,0.33146067415730335,160
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,13,20260430_105347.jpg,.\data\combined_514\images\20260430_105347.jpg,23,5,28,51,28,0.8214285714285714,0.45098039215686275,33
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet-50 FPN,14,20260430_105507.jpg,.\data\combined_514\images\20260430_105507.jpg,32,5,6,38,37,0.8648648648648649,0.8421052631578947,11
