task,run_dir,device,display_name,family,method,parameters,resolved_model_name,seed,trainable_parameters,best_epoch,best_val_metric,f1_50,map50,map50_95,precision50,recall50,train_seconds,image_size,shared_backbone,classification_head,roi_attention,train_roi_only,init_source,center_detection_head,class_agnostic_detection,count_aware_bias,count_aware_max,count_aware_min,count_aware_multiplier,count_aware_topk,decoder_branching,decoupled_decoder,dense_count_residual,density_count_head,detection_classes,highres_detection,roi_class_weight_power,roi_focal_gamma,roi_global_context,roi_quality_background_count,roi_quality_inference_power,roi_quality_jitter_count,roi_quality_loss_weight,segmentation_box_refine,segmentation_box_refine_blend,segmentation_box_refine_expansion,segmentation_box_refine_min_pixels,segmentation_box_refine_threshold,segmentation_support_power,segmentation_support_threshold,task_aligned_detection,train_image_sampling_power,train_tile_anchor_class_power,train_tile_max_scale,train_tile_min_scale,train_tile_min_visibility,train_tile_prob,model_name,source_checkpoint,teacher_classification_loss_weight,teacher_count_loss_weight,teacher_detection_loss_weight,teacher_dir,teacher_segmentation_loss_weight,adapter_bottleneck,adapter_fusion,adapter_lr,encoder_lr,freeze_encoder_epochs,head_lr,balancer_lr,loss_balancer,uw_log_var_classification,uw_log_var_counting,uw_log_var_detection,uw_log_var_segmentation,uw_weight_classification,uw_weight_counting,uw_weight_detection,uw_weight_segmentation,dice,dice_foreground,loss,miou,miou_foreground,pixel_accuracy,linear_probe,bias,mae,mape,r2,rmse,accuracy,balanced_accuracy,macro_f1,weighted_f1
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_151212_fasterrcnn_resnet50_fpn_thr005_seed42,cuda,Faster R-CNN ResNet-50 FPN (thr=0.05),Two-stage detector + threshold tuning,fasterrcnn_resnet50_fpn_thr005,41319661,torchvision:fasterrcnn_resnet50_fpn,42,41097261,18,0.42954297601690505,0.4784097183876311,0.4160884131986638,0.2593520116782375,0.40814019219898245,0.5779082177161152,565.6952820000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_145722_fasterrcnn_resnet50_fpn_seed42,cuda,Faster R-CNN ResNet-50 FPN,Two-stage detector,fasterrcnn_resnet50_fpn,41319661,torchvision:fasterrcnn_resnet50_fpn,42,41097261,35,0.41346951697698164,0.5796151104775481,0.3868523989855407,0.2526281285685491,0.6222834404652586,0.5424226254002135,883.3829881000129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_164341_maskrcnn_resnet50_fpn_seed42,cuda,Mask R-CNN ResNet-50 FPN,Instance segmentation detector,maskrcnn_resnet50_fpn,43943923,torchvision:maskrcnn_resnet50_fpn,42,43721523,18,0.3960115272753749,0.5599362803663879,0.38175941428865673,0.2439784398631804,0.5571994715984148,0.562700106723586,6383.930929099995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260705_134300_berrymtl_specialist_adapter_fusion_seed42,cuda,BerryMTL-SpecialistAdapterFusion (ours),Specialist-initialized adapter fusion,berrymtl_specialist_adapter_fusion,31727178,,42,31727178,2,0.6816990110632285,0.47581284694686754,0.3718364139927505,0.18790389884182904,0.4134672179562906,0.5602988260405549,1301.4883641999913,768.0,,,,,,,True,,,,,,,True,True,,1.0,True,,,True,,,,,,,,,,,,True,,,,,,,convnextv2_tiny.fcmae_ft_in22k_in1k,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42\best.pt,0.2,0.0,0.1,.\outputs\fresh_benchmark_514\07_cross_task_analysis\specialist_teachers\best_individual_514,0.06,48.0,True,0.00016,4e-06,4.0,3e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260705_142348_berrymtl_specialist_adapter_fusion_uncertainty_seed42,cuda,BerryMTL-SpecialistAdapterFusion-UW (ours),Specialist adapter fusion + uncertainty weighting,berrymtl_specialist_adapter_fusion_uncertainty,31727178,,42,31727178,4,0.6832769943281684,0.479048697621744,0.37139324826618,0.19270525996555993,0.41617473435655256,0.5643009605122732,1375.1890083999897,768.0,,,,,,,True,,,,,,,True,True,,1.0,True,,,True,,,,,,,,,,,,True,,,,,,,convnextv2_tiny.fcmae_ft_in22k_in1k,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42\best.pt,0.2,0.0,0.1,.\outputs\fresh_benchmark_514\07_cross_task_analysis\specialist_teachers\best_individual_514,0.06,48.0,True,0.00016,4e-06,4.0,3e-05,8e-05,uncertainty,-0.11687372624874115,-0.1170836091041565,0.10420405864715576,-0.11660267412662506,1.123977541923523,1.124213457107544,0.9010413885116577,1.1236728429794312,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42,cuda,BerryMTL-TeacherAlignedDet (ours),Unified multitask anchor-free detection,berrymtl_teacher_aligned_det,31582358,timm_fpn_centernet:convnextv2_tiny.fcmae_ft_in22k_in1k,42,31582358,8,0.6822980950110071,0.46427342585158843,0.3687990985192913,0.18012225153641861,0.4071615369141018,0.5400213447171825,622.5741382999986,768.0,True,mask-attended ROI head,True,,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_213802_berrymtl_centerdet_hitile_quality_seed42\best.pt,True,True,12.0,110.0,18.0,1.6,True,det_cls_vs_seg_count,True,True,True,1.0,True,1.18,1.35,True,8.0,0.45,2.0,0.28,True,0.25,0.08,6.0,0.25,0.35,0.035,True,0.55,0.75,0.58,0.3,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260705_130302_berrymtl_specialist_guided_distill_seed42,cuda,BerryMTL-SpecialistGuidedDistill (ours),Specialist-guided unified distillation,berrymtl_specialist_guided_distill,31582358,,42,31582358,5,0.6799774714154981,0.4926062846580407,0.35387695837650757,0.18001444293275537,0.4343928280358598,0.5688367129135539,1114.9320621999796,768.0,,,,,,,True,,,,,,,True,True,,1.0,True,,,True,,,,,,,,,,,,True,,,,,,,convnextv2_tiny.fcmae_ft_in22k_in1k,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42\best.pt,0.25,0.0,0.18,.\outputs\fresh_benchmark_514\07_cross_task_analysis\specialist_teachers\best_individual_514,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_213802_berrymtl_centerdet_hitile_quality_seed42,cuda,BerryMTL-HiTile-QualityDet (ours),Unified multitask anchor-free detection,berrymtl_centerdet_hitile_quality,31582358,timm_fpn_centernet:convnextv2_tiny.fcmae_ft_in22k_in1k,42,31582358,27,0.6649345382565184,0.4490667865977063,0.3364136857603444,0.15094059427190326,0.3880684026428294,0.5328175026680897,1175.251629700011,768.0,True,mask-attended ROI head,True,,.\outputs\fresh_benchmark_514\07_cross_task_analysis\ours\runs\20260704_212919_berrymtl_centerdet_highres_residual_seed42\best.pt,True,True,12.0,110.0,18.0,1.6,True,det_cls_vs_seg_count,True,True,True,1.0,True,1.0,0.0,True,0.0,0.0,0.0,0.0,False,0.3,0.1,6.0,0.3,0.35,0.035,True,0.0,0.0,0.58,0.3,0.2,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_155358_retinanet_resnet50_fpn_seed42,cuda,RetinaNet ResNet-50 FPN,One-stage detector,retinanet_resnet50_fpn,32251674,torchvision:retinanet_resnet50_fpn,42,32029274,32,0.33907919429228367,0.39753772835583795,0.32959108834443474,0.21571102801441677,0.3165717900063251,0.5341515474919958,692.9993489999906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_152142_fasterrcnn_resnet50_fpn_v2_seed42,cuda,Faster R-CNN ResNet-50 FPN v2,Two-stage detector,fasterrcnn_resnet50_fpn_v2,43276653,torchvision:fasterrcnn_resnet50_fpn_v2,42,43276653,23,0.3228671592946491,0.4761772853185596,0.31989123746468245,0.19070635045193682,0.4951036866359447,0.4586446104589114,644.4647477000108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
