stem,filename,image_path,semantic_mask_path,foreground_iou,true_foreground_pixels,pred_foreground_pixels,foreground_pixel_error,iou_green_immature,iou_pale_pink,iou_pink_turns_purple,iou_fully_ripe,iou_over_ripe
00007_20260212_161655_f00000198_t000006.601s,00007_20260212_161655_f00000198_t000006.601s.jpg,.\data\combined_514\images\00007_20260212_161655_f00000198_t000006.601s.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\00007_20260212_161655_f00000198_t000006.601s.png,0.7997565668067061,23458,22380,-1078,0.7554938420671335,0.30409356725146197,0.6785195936139332,0.6709950792782942,0.1281038374717833
00019_20260212_161655_f00000327_t000010.901s,00019_20260212_161655_f00000327_t000010.901s.jpg,.\data\combined_514\images\00019_20260212_161655_f00000327_t000010.901s.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\00019_20260212_161655_f00000327_t000010.901s.png,0.8317153451939503,21975,21988,13,0.7227486199225509,0.4437464306110794,0.40063520871143377,0.5936482998541129,0.05955497382198953
00082_20260212_161655_f00001136_t000037.870s,00082_20260212_161655_f00001136_t000037.870s.jpg,.\data\combined_514\images\00082_20260212_161655_f00001136_t000037.870s.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\00082_20260212_161655_f00001136_t000037.870s.png,0.7451562227264793,19702,20290,588,0.7034572218149004,0.10026385224274406,0.42231075697211157,0.18868511035125893,0.20972972972972972
00127_20260212_161655_f00001703_t000056.772s,00127_20260212_161655_f00001703_t000056.772s.jpg,.\data\combined_514\images\00127_20260212_161655_f00001703_t000056.772s.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\00127_20260212_161655_f00001703_t000056.772s.png,0.8086404172976611,21668,21327,-341,0.7475984177811263,0.0,0.6505148394912175,0.4432521667354519,0.3204643628509719
00140_20260212_161655_f00001835_t000061.173s,00140_20260212_161655_f00001835_t000061.173s.jpg,.\data\combined_514\images\00140_20260212_161655_f00001835_t000061.173s.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\00140_20260212_161655_f00001835_t000061.173s.png,0.6836785938480854,13899,12922,-977,0.6204868154158215,0.08458646616541353,0.4540441176470588,0.1514950166112957,0.5672485861814606
00223_20260212_161655_f00002878_t000095.943s,00223_20260212_161655_f00002878_t000095.943s.jpg,.\data\combined_514\images\00223_20260212_161655_f00002878_t000095.943s.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\00223_20260212_161655_f00002878_t000095.943s.png,0.6946597353497165,16834,19025,2191,0.6559499209918561,0.8779472954230236,0.31365313653136534,0.4068723155017571,0.39139603542808943
00227_20260212_161655_f00002930_t000097.676s,00227_20260212_161655_f00002930_t000097.676s.jpg,.\data\combined_514\images\00227_20260212_161655_f00002930_t000097.676s.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\00227_20260212_161655_f00002930_t000097.676s.png,0.7595616557261433,16755,15679,-1076,0.7018819503849444,0.0,0.4583333333333333,0.3491370347265544,0.14871794871794872
00246_20260212_161655_f00003255_t000108.511s,00246_20260212_161655_f00003255_t000108.511s.jpg,.\data\combined_514\images\00246_20260212_161655_f00003255_t000108.511s.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\00246_20260212_161655_f00003255_t000108.511s.png,0.7678763016724519,14204,13808,-396,0.7455560799119081,0.0,0.561344537815126,0.4503562945368171,0.0
00257_20260212_161655_f00003374_t000112.478s,00257_20260212_161655_f00003374_t000112.478s.jpg,.\data\combined_514\images\00257_20260212_161655_f00003374_t000112.478s.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\00257_20260212_161655_f00003374_t000112.478s.png,0.7557192532942899,19330,19043,-287,0.6946969696969697,0.3235077376565954,0.15384615384615385,0.29189647857445905,0.0
00321_20260212_164110_f00000473_t000015.769s,00321_20260212_164110_f00000473_t000015.769s.jpg,.\data\combined_514\images\00321_20260212_164110_f00000473_t000015.769s.jpg,.\outputs\fresh_benchmark_514\01_annotations\semantic_masks\00321_20260212_164110_f00000473_t000015.769s.png,0.6787949222242088,19386,18172,-1214,0.6587119568586128,0.7664399092970522,0.0,0.6744104188665963,0.11479028697571744
