class_id,class_name,iou,dice,method,display_name
0,background,0.9871298600180852,0.9935232516802914,fpn_convnextv2_tiny,FPN ConvNeXtV2-T
1,green_immature,0.6225923842129835,0.7674045438281328,fpn_convnextv2_tiny,FPN ConvNeXtV2-T
2,pale_pink,0.4619350571022783,0.6319501743365894,fpn_convnextv2_tiny,FPN ConvNeXtV2-T
3,pink_turns_purple,0.4851349243487755,0.6533210099567281,fpn_convnextv2_tiny,FPN ConvNeXtV2-T
4,fully_ripe,0.6403627347974271,0.7807574766400766,fpn_convnextv2_tiny,FPN ConvNeXtV2-T
5,over_ripe,0.1302752618798631,0.2305195314337687,fpn_convnextv2_tiny,FPN ConvNeXtV2-T
0,background,0.973855605388504,0.9867546569566064,fpn_swin_tiny,FPN Swin-T
1,green_immature,0.297019397571361,0.4580030154175381,fpn_swin_tiny,FPN Swin-T
2,pale_pink,0.2514855687606112,0.401899270815669,fpn_swin_tiny,FPN Swin-T
3,pink_turns_purple,0.1133040935672514,0.2035456336178595,fpn_swin_tiny,FPN Swin-T
4,fully_ripe,0.5198549750738408,0.6840849733687047,fpn_swin_tiny,FPN Swin-T
5,over_ripe,0.0,0.0,fpn_swin_tiny,FPN Swin-T
0,background,0.9852383394023236,0.992564287972536,deeplabv3_resnet50,DeepLabV3 ResNet-50
1,green_immature,0.5790802139875147,0.7334398960331643,deeplabv3_resnet50,DeepLabV3 ResNet-50
2,pale_pink,0.4302778126513263,0.601670261323168,deeplabv3_resnet50,DeepLabV3 ResNet-50
3,pink_turns_purple,0.4143763543111914,0.5859492108279694,deeplabv3_resnet50,DeepLabV3 ResNet-50
4,fully_ripe,0.6305969918774514,0.7734553602375888,deeplabv3_resnet50,DeepLabV3 ResNet-50
5,over_ripe,0.1188391916483095,0.2124330154599462,deeplabv3_resnet50,DeepLabV3 ResNet-50
0,background,0.9843475082168458,0.99211202084396,deeplabv3_resnet101,DeepLabV3 ResNet-101
1,green_immature,0.5518053655344715,0.7111785766308639,deeplabv3_resnet101,DeepLabV3 ResNet-101
