method,display_name,detection_map50,detection_delta_percent,segmentation_miou_foreground,segmentation_delta_percent,counting_mae,counting_delta_percent,classification_macro_f1,classification_delta_percent,complete_four_task_variant,delta_m_percent
berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours),0.37139324826618,-10.74174706978535,0.4731159555705515,-2.9050256370139538,9.46114042207792,31.729727355258163,0.6750937877065353,-6.941043828411036,True,2.7854777050119557
berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours),0.3718364139927505,-10.635239483293399,0.4726097569529354,-3.0089099833804727,9.475370332792208,31.62704629982136,0.6706774957063263,-7.549811870973798,True,2.608271240543422
berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours),0.3538769583765075,-14.951498972035319,0.4615089105999153,-5.287075366228583,9.272372159090908,33.09185287140892,0.6725954500223918,-7.285429603075574,True,1.3919622325173604
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),0.3687990985192913,-11.365208253658801,0.4690939590939386,-3.730437758898141,9.93559760551948,28.306110346443326,0.664697721977655,-8.374099564722124,True,1.2090911922910648
berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours),0.3364136857603444,-19.1485090454269,0.4607562024745832,-5.441549497298191,9.18453226461039,33.72569332591443,0.6779516172442601,-6.547103551460043,True,0.647132807932324
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),0.2627867447085836,-36.843532198260334,0.4377141310644954,-10.170346542695965,9.61820211038961,30.596392069581512,0.6392761145577774,-11.878365629344989,True,-7.073963075179945
berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours),0.2710051043049887,-34.86838476908133,0.4417292956569358,-9.346336490665424,10.090300324675324,27.189797053913967,0.6394780074353326,-11.850535510351323,True,-7.218864929046028
berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours),0.2647006675808067,-36.383552345058014,0.4386575552273997,-9.97673281263238,10.061789772727272,27.395525229156302,0.6360753877029575,-12.319572918648914,True,-7.8210832117957505
berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours),0.2670749646367685,-35.81292913598821,0.432961755999531,-11.145650228109725,10.4825487012987,24.359387354672453,0.6399081269279843,-11.791245272840472,True,-8.59760932056649
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),0.2577111440474294,-38.063369256960364,0.4293314225335201,-11.890683513631332,10.646103896103895,23.179195829794715,0.663938208873277,-8.478795383257458,True,-8.813413081013609
berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours),0.2458363751799574,-40.917274458546046,0.4422342159633359,-9.242714485049177,10.836241883116884,21.807186575687464,0.6320654199918077,-12.872330796556678,True,-10.30628329111611
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),0.2170837686277369,-47.82749008584168,0.4411143550900017,-9.472537346667467,10.702617694805197,22.771400122997616,0.652170936095216,-10.100866481604953,True,-11.157373447779122
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),0.2385530240280352,-42.667708001247156,0.4228741143983504,-13.215881196051724,11.467633928571429,17.2511494421179,0.6613205368001316,-8.83963092220383,True,-11.868017669346203
berrymtl_centerdet,BerryMTL-CenterDet (ours),0.2086692857376727,-49.84977251985088,0.4230187335986134,-13.186201796368401,15.658685064935066,-12.99089231850529,0.6546465378447044,-9.759614763844974,True,-21.446620349642387
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),0.1648033326240863,-60.39223218037556,0.3860450814323868,-20.77410021094723,16.5275974025974,-19.260842826602616,0.6551455438662261,-9.690828796129422,True,-27.529501003513705
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),0.1623527569401291,-60.98118770190006,0.3881207370761433,-20.348124867811986,16.5275974025974,-19.260842826602616,0.5696702205275108,-21.47325742038397,True,-30.515853204174658
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),0.264167322719106,-36.51173300204883,0.4385550215663495,-9.997775229557432,36.14261617288961,-160.80008858757725,0.6367949159437214,-12.220388852315041,True,-54.88249641787464
