class_id,ap50,ap50_95,tp50,fp50,gt,class_name,method,display_name
1,0.2690100252305651,0.0784452212835308,1068,13156,2463,green_immature,berrymtl_centerdet,BerryMTL-CenterDet (ours)
2,0.1991916396090631,0.0645649055790724,47,799,106,pale_pink,berrymtl_centerdet,BerryMTL-CenterDet (ours)
3,0.2449527869888637,0.100894659533655,67,789,128,pink_turns_purple,berrymtl_centerdet,BerryMTL-CenterDet (ours)
4,0.2896877635074402,0.0976866579273166,406,6132,918,fully_ripe,berrymtl_centerdet,BerryMTL-CenterDet (ours)
5,0.0405042133524314,0.0108114987870189,21,542,133,over_ripe,berrymtl_centerdet,BerryMTL-CenterDet (ours)
1,0.3191760357332786,0.1031572342597344,1136,14224,2463,green_immature,berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours)
2,0.2541150097877677,0.0812699067744553,45,282,106,pale_pink,berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours)
3,0.3189432363829618,0.1340218261982505,53,311,128,pink_turns_purple,berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours)
4,0.3182675357838981,0.1229030974582076,380,3007,918,fully_ripe,berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours)
5,0.0780539025492406,0.0192869312413051,33,449,133,over_ripe,berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours)
1,0.3705054415737169,0.1434076630432832,1193,2102,2463,green_immature,berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours)
2,0.2573936015183642,0.1302164239638297,41,65,106,pale_pink,berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours)
3,0.256003383899285,0.1255860467191483,50,63,128,pink_turns_purple,berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours)
4,0.3767211585023383,0.1682260901939302,450,674,918,fully_ripe,berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours)
5,0.0628797524103292,0.0173118199830979,27,135,133,over_ripe,berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours)
1,0.376486225364933,0.143952624505215,1262,8755,2463,green_immature,berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours)
2,0.2768299196591067,0.1087879345120099,39,235,106,pale_pink,berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours)
3,0.2733205213587149,0.1187459965790631,55,214,128,pink_turns_purple,berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours)
4,0.3186614689820718,0.1287459984886171,388,1805,918,fully_ripe,berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours)
5,0.0755384782307035,0.0232338720233567,33,298,133,over_ripe,berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours)
1,0.3626615941357444,0.1412146977537615,1229,7139,2463,green_immature,berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours)
2,0.2834556189041075,0.1365698370545046,39,191,106,pale_pink,berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours)
3,0.2886361127349703,0.1468798560116776,53,156,128,pink_turns_purple,berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours)
4,0.3781479252966515,0.1692169243447808,448,1517,918,fully_ripe,berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours)
5,0.0421242704534697,0.0119044403975327,22,224,133,over_ripe,berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours)
