method,display_name,threshold,stored_min_score,class_sensitive_map50,class_sensitive_recall50,class_sensitive_precision50,localization_map50,localization_recall50,localization_precision50,run_dir
berrymtl_specialist_adapter_fusion,BerryMTL-SpecialistAdapterFusion (ours),0.0,0.0005463558031519,0.3718364139927505,0.5602988260405549,0.4134672179562906,0.5360835352136228,0.6093916755602988,0.449694821815318,.\outputs\fresh_benchmark_514\03_detection\runs\20260705_134300_berrymtl_specialist_adapter_fusion_seed42
berrymtl_specialist_adapter_fusion_uncertainty,BerryMTL-SpecialistAdapterFusion-UW (ours),0.0,0.0009882054420363,0.37139324826618,0.5643009605122732,0.41617473435655256,0.539889351575938,0.6123265741728922,0.45159386068476975,.\outputs\fresh_benchmark_514\03_detection\runs\20260705_142348_berrymtl_specialist_adapter_fusion_uncertainty_seed42
berrymtl_teacher_aligned_det,BerryMTL-TeacherAlignedDet (ours),0.0,0.001209233091594,0.3687990985192913,0.5400213447171825,0.4071615369141018,0.5169933644899627,0.5872465314834578,0.4427680547173607,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_215800_berrymtl_teacher_aligned_det_seed42
berrymtl_specialist_guided_distill,BerryMTL-SpecialistGuidedDistill (ours),0.0,0.0015630214764975,0.35387695837650757,0.5688367129135539,0.4343928280358598,0.5458433139958296,0.6192636072572039,0.47290138549307253,.\outputs\fresh_benchmark_514\03_detection\runs\20260705_130302_berrymtl_specialist_guided_distill_seed42
berrymtl_centerdet_hitile_quality,BerryMTL-HiTile-QualityDet (ours),0.0,0.0009309731722065,0.3364136857603444,0.5328175026680897,0.3880684026428294,0.4966613099264575,0.5789754535752402,0.42168674698795183,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_213802_berrymtl_centerdet_hitile_quality_seed42
berrymtl_centerdet_decoupled_residual,BerryMTL-DecoupledCenterDet+ResidualCount (ours),0.0,0.0151184812258367,0.2710051043049887,0.477854855923159,0.16255218732982393,0.409686765775755,0.5269477054429029,0.17925213287347977,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_204408_berrymtl_centerdet_decoupled_residual_seed42
berrymtl_centerdet_shared_matched,BerryMTL-SharedCenterDet Matched (ours),0.0,0.0156922228937741,0.2670749646367685,0.4810565635005336,0.18964973177658567,0.4196406826938722,0.528281750266809,0.20826759230041023,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_205702_berrymtl_centerdet_shared_matched_seed42
berrymtl_centerdet_aligned_highres,BerryMTL-AlignedHighResCenterDet (ours),0.0,0.0085429640511005,0.26470066758080674,0.46985058697972254,0.366875,0.41327671228277635,0.5157417289220918,0.40270833333333333,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_211044_berrymtl_centerdet_aligned_highres_seed42
berrymtl_centerdet_decoupled,BerryMTL-DecoupledCenterDet (ours),0.0,0.0170491945297812,0.26416732271910603,0.474119530416222,0.1358147355548762,0.40052609487698665,0.5197438633938101,0.14888413329257108,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_203343_berrymtl_centerdet_decoupled_seed42
berrymtl_centerdet_tiletrain,BerryMTL-AgnosticCenter+ROI TileTrain (ours),0.0,0.0164487171957337,0.2627867447085836,0.4637139807897545,0.11861861861861862,0.38295085292412645,0.5072038420490929,0.12974337974337974,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_201336_berrymtl_centerdet_tiletrain_seed42
berrymtl_centerdet_agnostic,BerryMTL-AgnosticCenter+ROI (ours),0.0,0.0276935539230578,0.2577111440474294,0.4394343649946638,0.08268072289156626,0.35756250532821876,0.4810565635005336,0.09051204819277109,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_195709_berrymtl_centerdet_agnostic_seed42
berrymtl_centerdet_highres_residual,BerryMTL-HighResCenterDet+ResidualCount (ours),0.0,0.0085190026413268,0.2458363751799574,0.4455709711846318,0.06231110779448528,0.3586867467224319,0.48986125933831376,0.06850490653333831,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_212919_berrymtl_centerdet_highres_residual_seed42
berrymtl_centerdet_plus,BerryMTL-CenterDet+Contrastive (ours),0.0,0.0136462401224821,0.2385530240280352,0.4583778014941302,0.08603335169512745,0.3199238254962422,0.5066702241195304,0.09509740097150583,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_194814_berrymtl_centerdet_plus_seed42
berrymtl_roi_attention,BerryMTL-ROI-Attention (ours),0.0,0.1595724511756913,0.21708376862773693,0.27854855923159016,0.393516773464003,0.23660681602655126,0.3121664887940235,0.4410101771579344,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_184154_berrymtl_roi_attention_seed42
berrymtl_centerdet,BerryMTL-CenterDet (ours),0.0,0.0166653478030243,0.2086692857376727,0.4292956243329776,0.06987449515785817,0.2941284357990065,0.4743863393810032,0.07721370564988926,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_192212_berrymtl_centerdet_seed42
berrymtl_roi_attention_ft,BerryMTL-ROI-Attention FT (ours),0.0,0.2468767464160919,0.16480333262408636,0.20944503735325506,0.34160139251523064,0.14925499465876088,0.23665955176093917,0.38598781549173194,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_190948_berrymtl_roi_attention_ft_seed42
berrymtl_unified,BerryMTL-ConvNeXtV2 (ours),0.0,0.2820864915847778,0.16235275694012913,0.20410885805763074,0.3474114441416894,0.14603487075001706,0.2291889007470651,0.39009990917347864,.\outputs\fresh_benchmark_514\03_detection\runs\20260704_183037_berrymtl_unified_seed42
